Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,22.975000,23.875000,22.885000,23.875000,13.827857,4539400
2003-01-03,23.825001,23.850000,23.500000,23.715000,13.735188,3399800
2003-01-06,23.775000,24.209999,23.775000,24.200001,14.016087,2354400
2003-01-07,24.200001,24.200001,23.650000,23.924999,13.856812,3126000
2003-01-08,23.930000,23.930000,23.125000,23.200001,13.436902,3246600
2003-01-09,23.299999,23.719999,23.160000,23.670000,13.709122,2916600
2003-01-10,23.469999,23.955000,23.375000,23.709999,13.732286,2834800
2003-01-13,23.924999,23.969999,23.575001,23.850000,13.813373,2716200
2003-01-14,23.725000,23.805000,23.285000,23.695000,13.723599,4640600
2003-01-15,23.799999,23.934999,23.430000,23.590000,13.662787,3860800
2003-01-16,23.475000,23.895000,23.475000,23.629999,13.788241,3278000
2003-01-17,23.525000,23.735001,23.340000,23.525000,13.726974,2814200
2003-01-21,23.700001,23.700001,23.025000,23.035000,13.441055,3617000
2003-01-22,23.040001,23.040001,22.020000,22.225000,12.968417,5860800
2003-01-23,22.375000,22.775000,21.370001,22.740000,13.268925,8767800
2003-01-24,22.740000,22.740000,21.850000,21.959999,12.813790,3641600
2003-01-27,21.900000,22.094999,21.549999,21.625000,12.618313,3010000
2003-01-28,21.674999,22.000000,21.500000,21.915001,12.787533,2947000
2003-01-29,21.920000,22.240000,21.424999,22.025000,12.851716,3829400
2003-01-30,22.150000,22.190001,21.485001,21.525000,12.559955,2801400
2003-01-31,21.375000,22.250000,21.305000,21.990000,12.831294,3284800
2003-02-03,22.174999,22.290001,22.000000,22.125000,12.910067,2334000
2003-02-04,22.000000,22.129999,21.635000,21.870001,12.761274,2672400
2003-02-05,22.075001,22.365000,21.790001,21.830000,12.737929,2658000
2003-02-06,21.750000,21.995001,21.375000,21.485001,12.536624,2891000
2003-02-07,21.650000,21.825001,21.180000,21.315001,12.437426,2782600
2003-02-10,21.225000,21.375000,20.895000,21.290001,12.422841,3235200
2003-02-11,21.525000,21.680000,21.150000,21.290001,12.422841,2855600
2003-02-12,21.325001,21.525000,21.004999,21.020000,12.265287,2639200
2003-02-13,20.975000,21.094999,20.620001,21.059999,12.288626,3096000
2003-02-14,21.059999,21.639999,20.870001,21.625000,12.618313,3159600
2003-02-18,21.674999,22.395000,21.674999,22.275000,12.997594,4055600
2003-02-19,22.700001,22.975000,22.575001,22.975000,13.406048,7256000
2003-02-20,23.075001,23.174999,22.709999,23.150000,13.508164,5727200
2003-02-21,23.150000,23.299999,22.875000,23.270000,13.578180,4364000
2003-02-24,23.145000,23.145000,22.764999,22.905001,13.365198,5391800
2003-02-25,22.715000,23.000000,22.455000,22.910000,13.368118,4559400
2003-02-26,22.825001,23.000000,22.725000,22.875000,13.347705,3841000
2003-02-27,23.000000,23.415001,22.754999,23.360001,13.630695,5416200
2003-02-28,23.475000,23.775000,23.350000,23.500000,13.712385,4487200
2003-03-03,23.504999,23.674999,23.430000,23.540001,13.735729,4103600
2003-03-04,23.450001,23.450001,22.555000,22.610001,13.193066,5392200
2003-03-05,22.610001,22.969999,22.525000,22.815001,13.312682,3461200
2003-03-06,22.820000,22.820000,22.200001,22.299999,13.012177,3598600
2003-03-07,21.875000,23.125000,21.855000,22.900000,13.362283,5230400
2003-03-10,22.674999,22.700001,22.299999,22.395000,13.067610,2725800
2003-03-11,22.400000,22.615000,22.150000,22.250000,12.983005,3516600
2003-03-12,22.174999,22.315001,21.760000,22.110001,12.901317,3930600
2003-03-13,22.575001,23.465000,22.555000,23.465000,13.691968,5121200
2003-03-14,23.475000,23.975000,23.305000,23.510000,13.718224,5226600
2003-03-17,23.475000,25.120001,23.389999,25.115000,14.654748,7931400
2003-03-18,25.115000,25.340000,24.750000,24.900000,14.529295,7566800
2003-03-19,24.750000,25.000000,24.434999,24.895000,14.526382,5683200
2003-03-20,24.895000,25.500000,24.500000,25.309999,14.768535,5713000
2003-03-21,25.375000,26.650000,25.375000,26.275000,15.331615,8699400
2003-03-24,26.280001,26.280001,25.230000,25.365000,14.800626,5402200
2003-03-25,25.500000,25.600000,25.174999,25.500000,14.879398,5575000
2003-03-26,25.500000,25.525000,24.950001,25.100000,14.645995,5476600
2003-03-27,24.875000,25.500000,24.650000,25.360001,14.797707,3678400
2003-03-28,25.360001,25.360001,24.889999,25.120001,14.657661,3848800
2003-03-31,24.625000,24.924999,24.360001,24.600000,14.354237,4721000
2003-04-01,24.600000,25.000000,24.490000,24.825001,14.485530,4317400
2003-04-02,25.424999,25.920000,25.400000,25.855000,15.086539,5207800
2003-04-03,26.100000,26.100000,25.645000,25.900000,15.112798,3945800
2003-04-04,25.900000,26.100000,25.530001,25.735001,15.016526,3447400
2003-04-07,26.245001,26.754999,25.809999,25.850000,15.083631,4251400
2003-04-08,25.975000,26.125000,25.559999,26.049999,15.200321,3054600
2003-04-09,25.780001,26.280001,25.780001,25.855000,15.086539,5010600
2003-04-10,25.855000,26.415001,25.750000,26.415001,15.413305,4317600
2003-04-11,26.750000,27.125000,26.400000,26.490000,15.457067,3944200
2003-04-14,26.490000,26.825001,26.370001,26.820000,15.649626,3413000
2003-04-15,26.575001,26.715000,26.110001,26.350000,15.375378,5635200
2003-04-16,26.625000,26.809999,25.684999,25.705000,15.099298,5160600
2003-04-17,25.264999,26.070000,25.200001,25.990000,15.266712,5137400
2003-04-21,26.100000,26.205000,25.754999,25.920000,15.225586,3852800
2003-04-22,25.600000,26.559999,25.430000,26.480000,15.554542,4264200
2003-04-23,26.355000,26.500000,26.125000,26.430000,15.525166,4373200
2003-04-24,26.150000,26.545000,26.150000,26.375000,15.492858,2923000
2003-04-25,26.375000,26.485001,25.915001,25.965000,15.252024,3252200
2003-04-28,25.850000,26.500000,25.850000,26.389999,15.501668,2978800
2003-04-29,26.405001,26.530001,25.950001,26.195000,15.387126,3377200
2003-04-30,26.184999,26.475000,25.945000,26.299999,15.448813,3395800
2003-05-01,26.299999,26.325001,25.670000,25.924999,15.228518,3552200
2003-05-02,25.875000,26.280001,25.785000,26.174999,15.375378,4953600
2003-05-05,26.424999,26.665001,26.270000,26.340000,15.472301,4367800
2003-05-06,26.385000,26.950001,26.309999,26.950001,15.830623,4171600
2003-05-07,26.725000,26.875000,26.549999,26.665001,15.663212,3589000
2003-05-08,26.605000,26.605000,25.940001,25.985001,15.263776,5616400
2003-05-09,26.000000,26.850000,26.000000,26.575001,15.610343,3927200
2003-05-12,26.625000,27.215000,26.450001,27.125000,15.933418,3455600
2003-05-13,27.049999,27.049999,26.500000,26.584999,15.616210,3932800
2003-05-14,26.674999,26.740000,26.125000,26.395000,15.504603,4019000
2003-05-15,26.650000,26.719999,26.410000,26.700001,15.683774,3476000
2003-05-16,26.700001,26.875000,26.264999,26.485001,15.557477,3558000
2003-05-19,26.325001,26.350000,25.709999,25.750000,15.125731,3279200
2003-05-20,25.750000,25.844999,25.430000,25.625000,15.052305,3955600
2003-05-21,25.549999,25.549999,25.094999,25.215000,14.811466,5214000
2003-05-22,25.350000,25.740000,25.254999,25.610001,15.043489,3846200
2003-05-23,25.625000,25.635000,25.250000,25.500000,14.978878,2054200
2003-05-27,25.375000,26.325001,25.299999,26.254999,15.422375,3741000
2003-05-28,26.299999,26.525000,26.174999,26.254999,15.422375,4024400
2003-05-29,26.260000,26.660000,25.250000,25.250000,14.832024,6422400
2003-05-30,25.500000,26.105000,25.400000,26.075001,15.316639,5988000
2003-06-02,26.250000,26.475000,26.000000,26.090000,15.325450,3128400
2003-06-03,26.090000,26.764999,26.030001,26.475000,15.551600,3720000
2003-06-04,26.500000,27.075001,26.480000,26.959999,15.836491,3627200
2003-06-05,26.959999,27.245001,26.680000,27.184999,15.968657,3478800
2003-06-06,27.315001,28.000000,27.270000,27.305000,16.039148,5493600
2003-06-09,27.270000,27.379999,26.950001,27.110001,15.924598,3458000
2003-06-10,27.350000,27.385000,26.900000,27.309999,16.042082,2840200
2003-06-11,27.424999,28.340000,27.365000,28.330000,16.641239,4675600
2003-06-12,28.330000,28.525000,27.924999,28.065001,16.485580,3231600
2003-06-13,28.020000,28.125000,27.830000,28.025000,16.462076,2737600
2003-06-16,28.375000,28.959999,28.315001,28.945000,17.002491,4286400
2003-06-17,28.995001,29.125000,28.635000,28.879999,16.964312,3625200
2003-06-18,28.750000,28.995001,28.430000,28.510000,16.746973,3469000
2003-06-19,28.600000,28.725000,28.139999,28.250000,16.594246,3027200
2003-06-20,28.480000,28.740000,28.400000,28.625000,16.814531,5024400
2003-06-23,28.625000,28.690001,27.920000,28.330000,16.641239,3256000
2003-06-24,28.125000,28.750000,28.125000,28.225000,16.579557,2775200
2003-06-25,28.230000,28.285000,27.799999,28.075001,16.491444,3173000
2003-06-26,28.035000,28.434999,27.930000,28.379999,16.670610,2192600
2003-06-27,28.299999,28.410000,27.709999,27.915001,16.397467,3170400
2003-06-30,27.940001,28.219999,27.600000,27.830000,16.347534,2102400
2003-07-01,27.549999,27.754999,26.549999,27.370001,16.077326,8532800
2003-07-02,27.370001,28.014999,27.370001,27.870001,16.371035,5208000
2003-07-03,27.700001,28.174999,27.650000,27.785000,16.321102,2047400
2003-07-07,28.125000,28.650000,28.075001,28.205000,16.567814,3421200
2003-07-08,28.155001,28.465000,28.065001,28.355000,16.655930,2427400
2003-07-09,28.325001,28.434999,28.049999,28.215000,16.573690,2160400
2003-07-10,28.215000,28.275000,28.000000,28.110001,16.512011,3527400
2003-07-11,28.025000,28.815001,28.025000,28.690001,16.852713,3552200
2003-07-14,29.150000,29.365000,28.915001,28.940001,16.999557,5128600
2003-07-15,29.299999,29.299999,28.805000,29.035000,17.055361,4361400
2003-07-16,29.240000,29.320000,28.889999,29.320000,17.222769,4603200
2003-07-17,30.250000,31.870001,29.799999,31.770000,18.773975,20947800
2003-07-18,31.900000,32.930000,31.700001,32.805000,19.385593,15271400
2003-07-21,32.805000,32.950001,32.375000,32.660000,19.299906,13465000
2003-07-22,31.780001,32.625000,31.780001,32.099998,18.968977,13112600
2003-07-23,32.115002,32.505001,31.895000,32.424999,19.161032,9669600
2003-07-24,32.474998,32.500000,31.900000,31.910000,18.856709,6022200
